Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
ERR337940_STAR_aln						87.26	5085557.0
ERR337952_1	18.619245663093764	38.0	99.9953777526389	20.0	18796917.0		
ERR337952_2	17.833192119875932	38.0	99.99990147320436	20.0	18796917.0		
ERR337952_STAR_aln						57.14	10740117.0
ERR337964_1	18.49914321968494	38.0	99.9967500537427	20.0	17569829.0		
ERR337964_2	17.644670771231276	38.0	99.99944148574241	20.0	17569829.0		
ERR337964_STAR_aln						54.72	9614885.0
ERR337976_1	33.782470837568695	44.0	99.99668593482704	10.0	456539.0		
ERR337976_2	32.879226622440186	44.0	99.99964953706036	10.0	456539.0		
ERR337976_STAR_aln						66.58	303975.0
ERR570498_1	22.665490050656487	37.0	99.99967965529964	10.0	7610552.0		
ERR570498_2	19.927586358475367	38.0	99.99622287581768	10.0	7610552.0		
ERR570498_STAR_aln						86.12	6554201.0
ERR570522_1	22.535695315968724	37.0	99.99971871131544	10.0	7636283.0		
ERR570522_2	19.801322602501642	38.0	99.99565639460978	10.0	7636283.0		
ERR570522_STAR_aln						86.11	6575974.0
ERR572959_1	18.470069498773	41.0	99.99891694592931	20.0	6206523.0		
ERR572959_2	16.595017900636435	41.0	99.99979553769478	10.0	6206523.0		
ERR572959_STAR_aln						59.37	3685111.0
ERR572983_1	17.414091103395762	44.0	99.999148704215	10.0	2109725.0		
ERR572983_2	15.160882114122217	44.0	100.0	20.0	2109725.0		
ERR572983_STAR_aln						43.76	923190.0
ERR573001_1	20.724284945723014	37.0	99.99859859261707	10.0	4920054.0		
ERR573001_2	19.134763495393884	37.0	99.9918102524891	10.0	4920054.0		
ERR573001_STAR_aln						84.83	4173437.0
ERR573016_1	21.90720053369533	39.0	99.99859413509084	10.0	6369033.0		
ERR573016_2	20.38322266379484	39.0	99.99189924121919	10.0	6369033.0		
ERR573016_STAR_aln						74.72	4759155.0
ERR573025_1	20.39991065556616	37.0	99.9992214816041	10.0	4869506.0		
ERR573025_2	19.098743539379754	37.0	99.99521183462963	10.0	4869506.0		
ERR573025_STAR_aln						84.85	4131545.0
ERR573040_1	21.59726140728891	39.0	99.99920147357788	10.0	6304112.0		
ERR573040_2	20.32449717049043	39.0	99.99518568198027	10.0	6304112.0		
ERR573040_STAR_aln						74.73	4711101.0
ERR578141_1	21.958093790572335	38.0	99.99930675868316	10.0	5837794.0		
ERR578141_2	19.832454851514115	39.0	99.99642587593875	10.0	5837794.0		
ERR578141_STAR_aln						77.64	4532302.0
ERR578154_1	22.071428188684877	39.0	99.99932337882882	10.0	7528585.0		
ERR578154_2	20.700372085770653	39.0	99.99515579620872	10.0	7528585.0		
ERR578154_STAR_aln						76.44	5755117.0
ERR578165_1	21.560287901750925	38.0	99.9994177103466	10.0	5880235.0		
ERR578165_2	19.453225806634478	39.0	99.99932536709842	10.0	5880235.0		
ERR578165_STAR_aln						77.64	4565394.0
ERR578178_1	21.55918612193956	39.0	99.99942914078454	10.0	7602575.0		
ERR578178_2	20.244848675554536	39.0	99.99931681042278	10.0	7602575.0		
ERR578178_STAR_aln						76.48	5814509.0
